theta           phi             x                y                z                Bx               By               Bz
0.00000000E+00  5.09581171E+00  +4.08491930E+00  -1.01265536E+01  -5.97577284E-02  +2.80970076E-01  +1.21518113E-01  -3.21287631E-02
0.00000000E+00  5.14528561E+00  +4.57215569E+00  -9.89362315E+00  -9.83937172E-02  +2.73519936E-01  +1.40288108E-01  -2.94697674E-02
0.00000000E+00  5.19475951E+00  +5.04214489E+00  -9.62925738E+00  -1.30901265E-01  +2.65592048E-01  +1.58234019E-01  -2.55743132E-02
0.00000000E+00  5.24423341E+00  +5.49355520E+00  -9.33647231E+00  -1.55271938E-01  +2.57331668E-01  +1.75103568E-01  -2.06542517E-02
0.00000000E+00  5.29370731E+00  +5.92572090E+00  -9.01861686E+00  -1.70035396E-01  +2.48942965E-01  +1.90719007E-01  -1.49840474E-02
0.00000000E+00  5.34318121E+00  +6.33861427E+00  -8.67912395E+00  -1.74353984E-01  +2.40621219E-01  +2.04982407E-01  -8.87852311E-03
0.00000000E+00  5.39265511E+00  +6.73275850E+00  -8.32127671E+00  -1.68057215E-01  +2.32486307E-01  +2.17839196E-01  -2.67997972E-03
0.00000000E+00  5.44212901E+00  +7.10909916E+00  -7.94801664E+00  -1.51620988E-01  +2.24563020E-01  +2.29247933E-01  +3.24325357E-03
0.00000000E+00  5.49160291E+00  +7.46885160E+00  -7.56180594E+00  -1.26108867E-01  +2.16808460E-01  +2.39196738E-01  +8.50475822E-03
0.00000000E+00  5.54107681E+00  +7.81333502E+00  -7.16454243E+00  -9.30921232E-02  +2.09149667E-01  +2.47755390E-01  +1.27312303E-02
0.00000000E+00  5.59055071E+00  +8.14379814E+00  -6.75752014E+00  -5.45560455E-02  +2.01492946E-01  +2.55108054E-01  +1.56104501E-02
0.00000000E+00  5.64002461E+00  +8.46124321E+00  -6.34143313E+00  -1.27916680E-02  +1.93697589E-01  +2.61521540E-01  +1.69310400E-02
0.00000000E+00  5.68949851E+00  +8.76626236E+00  -5.91642493E+00  +2.97290987E-02  +1.85543609E-01  +2.67261284E-01  +1.65985413E-02
0.00000000E+00  5.73897241E+00  +9.05890539E+00  -5.48218519E+00  +7.04916417E-02  +1.76733993E-01  +2.72514501E-01  +1.46365177E-02
0.00000000E+00  5.78844631E+00  +9.33859563E+00  -5.03808716E+00  +1.07080406E-01  +1.66947743E-01  +2.77372300E-01  +1.11867595E-02
0.00000000E+00  5.83792021E+00  +9.60410131E+00  -4.58335179E+00  +1.37312603E-01  +1.55918483E-01  +2.81871572E-01  +6.50428334E-03
0.00000000E+00  5.88739411E+00  +9.85355900E+00  -4.11721959E+00  +1.59356448E-01  +1.43488887E-01  +2.86049432E-01  +9.31564344E-04
0.00000000E+00  5.93686801E+00  +1.00845411E+01  -3.63911430E+00  +1.71833232E-01  +1.29609924E-01  +2.89957500E-01  -5.14756388E-03
0.00000000E+00  5.98634191E+00  +1.02941630E+01  -3.14878847E+00  +1.73905768E-01  +1.14302651E-01  +2.93624489E-01  -1.13516388E-02
0.00000000E+00  6.03581581E+00  +1.04792332E+01  -2.64644430E+00  +1.65351349E-01  +9.76295150E-02  +2.97005902E-01  -1.73226778E-02
0.00000000E+00  6.08528971E+00  +1.06364500E+01  -2.13282196E+00  +1.46607618E-01  +7.97019955E-02  +2.99974383E-01  -2.27287973E-02
0.00000000E+00  6.13476361E+00  +1.07626374E+01  -1.60924300E+00  +1.18772900E-01  +6.07052759E-02  +3.02371106E-01  -2.72689458E-02
0.00000000E+00  6.18423751E+00  +1.08549970E+01  -1.07759717E+00  +8.35472131E-02  +4.08980146E-02  +3.04083806E-01  -3.06910640E-02
0.00000000E+00  6.23371141E+00  +1.09113420E+01  -5.40267512E-01  +4.31165470E-02  +2.05714570E-02  +3.05087596E-01  -3.28133263E-02
0.00000000E+00  6.28318531E+00  +1.09302825E+01  -2.67714709E-15  +2.15600909E-16  +1.02114171E-16  +3.05414794E-01  -3.35317054E-02
2.02683397E-01  0.00000000E+00  +1.09161500E+01  +0.00000000E+00  -7.83124504E-02  +1.00644748E-03  +3.06086923E-01  -3.27886806E-02
2.02683397E-01  4.94739001E-02  +1.09044616E+01  +5.39926837E-01  -1.21625774E-01  -1.96328353E-02  +3.05184406E-01  -3.30138733E-02
2.02683397E-01  9.89478001E-02  +1.08551321E+01  +1.07761058E+00  -1.63853739E-01  -4.00599682E-02  +3.03638457E-01  -3.18243544E-02
2.02683397E-01  1.48421700E-01  +1.07690131E+01  +1.61019630E+00  -2.02358826E-01  -6.00450308E-02  +3.01509005E-01  -2.92659470E-02
2.02683397E-01  1.97895600E-01  +1.06478272E+01  +2.13510331E+00  -2.34741952E-01  -7.93530045E-02  +2.98804239E-01  -2.54514813E-02
2.02683397E-01  2.47369500E-01  +1.04940358E+01  +2.65018258E+00  -2.59000154E-01  -9.77286385E-02  +2.95527109E-01  -2.05734743E-02
2.02683397E-01  2.96843400E-01  +1.03106438E+01  +3.15382963E+00  -2.73662744E-01  -1.14929852E-01  +2.91739974E-01  -1.49064806E-02
2.02683397E-01  3.46317300E-01  +1.01009547E+01  +3.64503734E+00  -2.77887895E-01  -1.30784259E-01  +2.87581402E-01  -8.78699583E-03
2.02683397E-01  3.95791200E-01  +9.86830803E+00  +4.12338234E+00  -2.71504643E-01  -1.45218642E-01  +2.83213264E-01  -2.58145988E-03
2.02683397E-01  4.45265101E-01  +9.61583527E+00  +4.58895158E+00  -2.54998011E-01  -1.58241196E-01  +2.78738920E-01  +3.33629328E-03
2.02683397E-01  4.94739001E-01  +9.34626656E+00  +5.04222555E+00  -2.29448424E-01  -1.69906239E-01  +2.74154640E-01  +8.59334266E-03
2.02683397E-01  5.44212901E-01  +9.06179779E+00  +5.48393559E+00  -1.96442813E-01  -1.80304383E-01  +2.69363304E-01  +1.28299391E-02
2.02683397E-01  5.93686801E-01  +8.76401345E+00  +5.91490712E+00  -1.57971974E-01  -1.89586896E-01  +2.64228260E-01  +1.57326271E-02
2.02683397E-01  6.43160701E-01  +8.45385510E+00  +6.33589597E+00  -1.16320565E-01  -1.97990298E-01  +2.58617310E-01  +1.70798042E-02
2.02683397E-01  6.92634601E-01  +8.13163095E+00  +6.74742412E+00  -7.39484640E-02  -2.05819443E-01  +2.52400639E-01  +1.67735318E-02
2.02683397E-01  7.42108501E-01  +7.79706877E+00  +7.14962687E+00  -3.33604198E-02  -2.13381768E-01  +2.45412226E-01  +1.48436730E-02
2.02683397E-01  7.91582401E-01  +7.44941590E+00  +7.54212836E+00  +3.03369969E-03  -2.20909207E-01  +2.37423903E-01  +1.14354424E-02
2.02683397E-01  8.41056301E-01  +7.08758382E+00  +7.92396235E+00  +3.30581163E-02  -2.28517345E-01  +2.28175122E-01  +6.79606193E-03
2.02683397E-01  8.90530201E-01  +6.71032332E+00  +8.29354820E+00  +5.48969126E-02  -2.36223408E-01  +2.17450596E-01  +1.25849113E-03
2.02683397E-01  9.40004101E-01  +6.31640981E+00  +8.64872058E+00  +6.71979026E-02  -2.43999861E-01  +2.05150048E-01  -4.79020860E-03
2.02683397E-01  9.89478001E-01  +5.90481936E+00  +8.98680589E+00  +6.91534487E-02  -2.51815495E-01  +1.91298800E-01  -1.09544621E-02
2.02683397E-01  1.03895190E+00  +5.47488317E+00  +9.30473861E+00  +6.05600712E-02  -2.59631581E-01  +1.76001771E-01  -1.68693380E-02
2.02683397E-01  1.08842580E+00  +5.02641442E+00  +9.59921605E+00  +4.18542126E-02  -2.67364476E-01  +1.59391970E-01  -2.22158563E-02
2.02683397E-01  1.13789970E+00  +4.55980161E+00  +9.86689033E+00  +1.41135269E-02  -2.74860928E-01  +1.41620337E-01  -2.67178306E-02
2.02683397E-01  1.18737360E+00  +4.07605977E+00  +1.01045907E+01  -2.09900229E-02  -2.81926120E-01  +1.22884020E-01  -3.01408372E-02
2.02683397E-01  1.23684750E+00  +3.57682859E+00  +1.03095574E+01  -6.12913598E-02  -2.88395118E-01  +1.03446470E-01  -3.23039628E-02
2.02683397E-01  1.28632140E+00  +3.06431000E+00  +1.04796576E+01  -1.04278773E-01  -2.94188590E-01  +8.36126124E-02  -3.30940706E-02
2.02683397E-01  1.33579530E+00  +2.54114774E+00  +1.06135533E+01  -1.47265166E-01  -2.99300788E-01  +6.36759659E-02  -3.24683788E-02
2.02683397E-01  1.38526920E+00  +2.01026207E+00  +1.07108023E+01  -1.87564321E-01  -3.03732999E-01  +4.38881075E-02  -3.04480036E-02
2.02683397E-01  1.43474310E+00  +1.47465986E+00  +1.07718852E+01  -2.22662126E-01  -3.07439743E-01  +2.44748700E-02  -2.71175831E-02
2.02683397E-01  1.48421700E+00  +9.37240296E-01  +1.07981586E+01  -2.50379266E-01  -3.10341101E-01  +5.67152966E-03  -2.26364377E-02
2.02683397E-01  1.53369090E+00  +4.00615708E-01  +1.07917328E+01  -2.69017910E-01  -3.12389699E-01  -1.22702889E-02  -1.72474359E-02
2.02683397E-01  1.58316480E+00  -1.33033201E-01  +1.07552805E+01  -2.77476372E-01  -3.13627203E-01  -2.91201080E-02  -1.12659603E-02
2.02683397E-01  1.63263870E+00  -6.62050043E-01  +1.06917923E+01  -2.75314071E-01  -3.14172895E-01  -4.47201380E-02  -5.05010544E-03
2.02683397E-01  1.68211260E+00  -1.18533321E+00  +1.06043183E+01  -2.62758714E-01  -3.14149602E-01  -5.90094055E-02  +1.02767819E-03
